Index_agg,Country or area,Country Code,ISO3 Alpha Code,ISO2 Alpha Code,City Code,Urban Agglomeration,Location type,Data,Sources,Statistical Concept,Note,Urban Population,Cluster
1623,Syrian Arab Republic,760,SYR,SY,22608,Halab (Aleppo),Non-Capital,Urban agglomerations and capital cities,"Censuses of 1960, 1970, 1981, 1994 and 2004; UN Estimates for 2010, 2014, 2016 and 2017.",Urban Agglomeration,"Considering the situation in the country, recent estimates should be used with caution as they are not based on solid evidence.",Urban Population,1
1624,Syrian Arab Republic,760,SYR,SY,22612,Hamah,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1960, 1970, 1981, 1994 and 2004; UN Estimates for 2010, 2014 and 2017.",City Proper,"Considering the situation in the country, recent estimates should be used with caution as they are not based on solid evidence.",Urban Population,1
1625,Syrian Arab Republic,760,SYR,SY,22613,Hims (Homs),Non-Capital,Urban agglomerations and capital cities,"Censuses of 1960, 1970, 1981, 1994 and 2004; UN Estimates for 2010, 2014 and 2017.",City Proper,"Considering the situation in the country, recent estimates should be used with caution as they are not based on solid evidence.",Urban Population,1
1626,Syrian Arab Republic,760,SYR,SY,22614,Lattakia,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1960, 1970, 1981, 1994 and 2004; UN Estimates for 2010, 2014 and 2017.",City Proper,"Considering the situation in the country, recent estimates should be used with caution as they are not based on solid evidence.",Urban Population,1
1627,Syrian Arab Republic,760,SYR,SY,206425,Tartus,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1960, 1970, 1981, 1994 and 2004; UN Estimates for 2010, 2014 and 2017.",Urban Agglomeration,"Considering the situation in the country, recent estimates should be used with caution as they are not based on solid evidence.",Urban Population,1
1630,Thailand,764,THA,TH,205933,Buri Ram,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1960, 1970, 1980, 2000 and 2010; UN Estimate for 2015.",Urban Agglomeration,Refers to the population of the urban agglomeration as of 2000.,Urban Population,1
1631,Thailand,764,THA,TH,205936,Chanthaburi,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1960, 1970, 1980, 2000 and 2010.",Urban Agglomeration,Refers to the population of the urban agglomeration as of 2000.,Urban Population,1
1632,Thailand,764,THA,TH,22618,Chiang Mai,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1960, 1970, 1980, 2000 and 2010; UN Estimate for 2015.",Urban Agglomeration,Refers to the population of the urban agglomeration as of 2000.,Urban Population,1
1633,Thailand,764,THA,TH,205937,Chiang Rai,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1960, 1970, 1980, 2000 and 2010; UN Estimate for 2015.",Urban Agglomeration,Refers to the population of the urban agglomeration as of 2000.,Urban Population,1
1634,Thailand,764,THA,TH,22619,Chon Buri,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1960, 1970, 1980, 2000 and 2010; UN Estimate for 2015.",Urban Agglomeration,Refers to the population of the urban agglomeration as of 2000.,Urban Population,1
1635,Thailand,764,THA,TH,205939,Kalasin,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1960, 1970, 1980, 2000 and 2010; UN Estimate for 2015.",Urban Agglomeration,Refers to the population of the urban agglomeration as of 2000.,Urban Population,1
1638,Thailand,764,THA,TH,204121,Lampang,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1960, 1970, 1980, 2000 and 2010; UN Estimate for 2015.",Urban Agglomeration,Refers to the population of the urban agglomeration as of 2000.,Urban Population,1
1639,Thailand,764,THA,TH,205987,Lamphun,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1960, 1970, 1980, 2000 and 2010; UN Estimate for 2015.",Urban Agglomeration,Refers to the population of the urban agglomeration as of 2000.,Urban Population,1
1640,Thailand,764,THA,TH,205943,Lop Buri,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1960, 1970, 1980, 2000 and 2010.",Urban Agglomeration,Refers to the population of the urban agglomeration as of 2000.,Urban Population,1
1641,Thailand,764,THA,TH,205945,Nakhon Pathom,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1960, 1970, 1980, 2000 and 2010.",Urban Agglomeration,Refers to the population of the urban agglomeration as of 2000.,Urban Population,1
